type_of_investment	Kpi_description	monitoring_Type_Code	date	loginUser_id	monitoring_type_id	project_id
MV Pole foundation	Pole foundation completed	GEAP-PoleMV	2025-04-14 11:19:36.4496610 +00:00	5	Tec	GEAP 1
Pre-commissioning Tests	Pre-commissioning Tests conducted	GEAP-Precomm	2025-04-14 11:40:13.0354580 +00:00	5	Tec	GEAP 1
Placement of Orders	Placement of Orders prepared	GEAP-ProcOrder	2025-04-14 11:07:17.8665900 +00:00	5	proc	GEAP 1
Detailed survey and Final Route Alignment for 33kV, 30kV & LV Distribution Lines	Detailed survey and Final Route Alignment conducted	GEAP-Route	2025-04-14 11:02:50.7903100 +00:00	5	Tec	GEAP 1
Shipping/transportation	Shipping/transportation on schedule	GEAP-Shipment	2025-04-14 11:09:45.9905130 +00:00	5	proc	GEAP 1
Soil investigations	Soil investigations conducted	GEAP-Soil	2025-04-14 11:03:27.2557080 +00:00	5	Tec	GEAP 1
Pegging (staking)	Staking conducted	GEAP-Stak-Peg	2025-04-14 11:17:32.8532840 +00:00	5	Tec	GEAP 1
Street light installation	Street light installation completed	GEAPStreetlig	2025-04-14 11:34:24.4073680 +00:00	5	Tec	GEAP 1
Survey Report Preparation	Survey Report produced	GEAP-SurRep	2025-04-14 11:04:13.6206840 +00:00	5	Tec	GEAP 1
Preliminary survey of 33kV, 30kV & LV Distribution Lines	Preliminary survey of 33kV, 30kV & LV Distribution Lines conducted	GEAP-Survey	2025-04-14 11:01:39.0904880 +00:00	5	Tec	GEAP 1
Prepare a Gender Action Plan for GERMP	Gender Action Plan prepared and Implemented	Gender-Action	2025-04-01 15:49:42.6428030 +00:00	5	Tec	D309& D6530 -GM
Conduct Gender Based Violence Mapping exercise	Gender-Based Violence Mapping Conducted	Gender-Violence	2025-04-01 15:52:57.0418430 +00:00	5	Tec	D309& D6530 -GM
Backbone Phase I	ESIA Conducted	GERMP BB1	2025-02-27 13:19:03.3324980 +00:00	2	ESS	D309& D6530 -GM
Backbone Phase II	ESIA Conducted	GERMP BB2	2025-02-27 13:19:34.9602880 +00:00	2	ESS	D309& D6530 -GM
Backbone Phase III	ESIA Conducted	GERMP BB3	2025-02-27 13:20:07.6505130 +00:00	2	ESS	D309& D6530 -GM
Facilitate the implementation of EA recommendations (procurement of materials for short term interventions)	Disbursement rate for implementation of EA recommendations (procurement of materials for short term interventions) facilitated - Safytherm	GERMP- Safyther	2025-03-17 12:04:34.5075960 +00:00	2	Tech	D309& D6530 -GM
Solar Power Plant	ESIA  conducted	GERMP Solar	2025-02-27 13:17:48.5712300 +00:00	2	ESS	D309& D6530 -GM
Transmission and Distribution Line	ESIA conducted	GERMP T&D	2025-02-27 13:18:34.9999750 +00:00	2	ESS	D309& D6530 -GM
The Supply and Installation of underground cable between NAWEC’s new Switching Station and High Voltage substation at Brikama	Disbursement rate for 300 sq.mm underground cables supplyand installation	GERMP_Cables	2025-03-17 11:36:38.5223140 +00:00	2	Tech	D309& D6530 -GM
Prepayment meters Phase 1	Disbursement rate for 31,000 prepayment meters procurement	GERMP_PrepayMet	2025-03-17 11:29:14.3864340 +00:00	2	Tech	D309& D6530 -GM
Establishment of 225/33 KV substation	225/33 KV substation constructed	GERMP-225	2025-03-31 17:56:45.1108670 +00:00	5	Tec	D309& D6530 -GM
Conduct a study on tank rehabilitation/construction (Banjul and Brikama) and water quality improvement in Gunjur (Gunjur & Bansang)	Disbursement rate for study on tank rehabilitation/construction (Banjul and Brikama) and water quality improvement in Gunjur (Gunjur & Bansang)(ASPAC International)	GERMP-ASPAC	2025-03-17 12:01:46.1869090 +00:00	2	Tech	D309& D6530 -GM
Intervention Boreholes-ASPSC	Number of intervention boreholes constructed	Germp-ASPAC1	2025-04-09 11:17:26.9934080 +00:00	5	Tec	D309& D6530 -GM
Conduct Annual Audit for the 2022 financial year for NAWEC	Disbursement rate for Annual Audit for the 2022 financial year for NAWEC	GERMP-Audit-Naw	2025-03-17 11:47:33.4038800 +00:00	2	Tech	D309& D6530 -GM
Consultancy services to AZOROM for management support to NAWEC	Disbursement rate for AZOROM consultancy	GERMP-Azarom	2025-03-17 11:42:02.3090300 +00:00	2	Tech	D309& D6530 -GM
Backbone provincial Phase I	Disbursement rate for Provincial Backbone phase I	GERMP-BB1	2025-03-17 11:22:56.5340460 +00:00	2	Tech	D309& D6530 -GM
Backbone provincial phase 2	Disbursement rate for Provincial Backbone phase II	GERMP-BB2	2025-03-17 11:25:44.0431510 +00:00	2	Tech	D309& D6530 -GM
Provincial Backbone phase III	Disbursement rate for Provincial Backbone phase III	GERMP-BB3	2025-03-17 11:26:51.7761220 +00:00	2	Tech	D309& D6530 -GM
Design, supply and installation of boreholes and associated accessories with an output of at least 80 cubic meter /hr production capacity	Disbursement rate for 6 boreholes and associated accessories design supply and installation (Doku Group)	GERMP-Boreholes	2025-03-17 12:13:55.3082520 +00:00	2	Tech	D309& D6530 -GM
Establishment of Call centres	Disbursement rate for Call Center establishment	GERMP-Callcentr	2025-03-17 11:40:13.6574380 +00:00	2	Tech	D309& D6530 -GM
Communication and PR Activities	Communication and PR Activities conducted	Germp-Commun	2025-04-01 15:57:26.1118570 +00:00	5	Tec	D309& D6530 -GM
Provisions for communication activities	Disbursement rate for GERMP communication activities conducted	GERMP-Communica	2025-03-17 11:49:30.3813360 +00:00	2	Tech	D309& D6530 -GM
Rehabilitation of Customer Service Centers Phase 2	Disbursement rate for Customer Service centers rehabilitation	GERMP-Cuscentre	2025-03-17 11:39:16.7670840 +00:00	2	Tech	D309& D6530 -GM
Intervention Boreholes-Doku Group	Number of intervention boreholes constructed	Germp-Doku	2025-04-09 11:05:16.2163000 +00:00	5	Tec	D309& D6530 -GM
Fencing of existing borehole perimeters	Disbursement rate for Fencing of 10 existing borehole perimeters	GERMP-Fencing	2025-03-17 12:22:49.9464290 +00:00	2	Tech	D309& D6530 -GM
Consultant to conduct fuel testing efficiency at the generation stations	Disbursement rate for Consultancy on fuel testing	GERMP-Fuel Test	2025-03-17 11:33:58.6072730 +00:00	2	Tech	D309& D6530 -GM
GBA Substations -Primary and Secondary Stations and an additional Bay at OMVG Brikama Substation upgrades	Disbursement rate for Fifty-Two Substations and 1 additional Bay at OMVG upgrades	GERMP-GBA-SUBST	2025-03-17 11:20:24.2029600 +00:00	2	Tech	D309& D6530 -GM
GBA Transmission and Distribution Modernization –Phase 1	Disbursement rate for T&D system modernization within the GBA	GERMP-GBA-T&D	2025-03-17 11:16:31.5346050 +00:00	2	Tech	D309& D6530 -GM
Conduct Gender Based Violence Mapping exercise	Disbursement rate for Gender Based Violence Mapping Exercise	GERMP-GBV	2025-03-17 11:45:56.6066070 +00:00	2	Tech	D309& D6530 -GM
Prepare and implement a Gender Action Plan for GERMP	Disbursement rate for Gender Action Plan preparation and implementation	GERMP-Gender	2025-03-17 11:44:49.3839320 +00:00	2	Tech	D309& D6530 -GM
Study on the development of a Grid Code technology	Disbursement rate for Study on the development of a Grid Code technology	GERMP-Grid-Code	2025-03-17 11:56:20.6825500 +00:00	2	Tech	D309& D6530 -GM
Provisions for design and implementation of IMIS  to support NAWEC	Disbursement rate for IMIS designed and implementation	GERMP-IMIS	2025-03-17 11:43:29.9109480 +00:00	2	Tech	D309& D6530 -GM
Intervention/Additional Boreholes- Lot 2 - Sinco Spa	Number of Intervention Boreholes constructed	GERMP-Inter	2025-03-31 18:02:29.0757740 +00:00	5	Tec	D309& D6530 -GM
Installation of a 33 /11KV Kotu Tank substation,	Kotu Substation Tank constructed	GERMP-Kotutank	2025-03-31 17:48:50.8451530 +00:00	5	Tec	D309& D6530 -GM
Establishment of a loss reduction mechanism to increase operational efficiency of the entity	Disbursement rate for Loss Reduction mechanism	GERMP-Lossred	2025-03-17 11:37:36.8724680 +00:00	2	Tech	D309& D6530 -GM
Accessories for Maximum Demand(MD) Meters	Disbursement rate for 500 MD meters Procurement	GERMP-MDMet	2025-03-17 11:30:31.0335020 +00:00	2	Tech	D309& D6530 -GM
